Epoch, Train Loss, Val Loss, Accuracy, Model Path
1, 0.6554, 2.5421, 69.43, ./epoch\2024-09-09\epoch_1.pth
2, 0.5739, 0.6507, 67.51, ./epoch\2024-09-09\epoch_2.pth
3, 0.5447, 1.0084, 78.87, ./epoch\2024-09-09\epoch_3.pth
4, 0.4839, 0.5290, 80.60, ./epoch\2024-09-09\epoch_4.pth
5, 0.5643, 0.5772, 70.25, ./epoch\2024-09-09\epoch_5.pth
6, 0.5523, 2.5012, 75.49, ./epoch\2024-09-09\epoch_6.pth
7, 0.5255, 0.5970, 75.17, ./epoch\2024-09-09\epoch_7.pth
8, 0.5767, 2.0807, 60.25, ./epoch\2024-09-09\epoch_8.pth
9, 0.6102, 0.6921, 72.40, ./epoch\2024-09-09\epoch_9.pth
10, 0.5301, 0.4770, 77.54, ./epoch\2024-09-09\epoch_10.pth
11, 0.5084, 3.2933, 76.03, ./epoch\2024-09-09\epoch_11.pth
12, 0.4964, 0.5285, 77.95, ./epoch\2024-09-09\epoch_12.pth
13, 0.4413, 0.6335, 77.47, ./epoch\2024-09-09\epoch_13.pth
14, 0.4545, 0.4279, 79.85, ./epoch\2024-09-09\epoch_14.pth
15, 0.4359, 1.5455, 76.58, ./epoch\2024-09-09\epoch_15.pth
16, 0.4815, 5.1191, 67.99, ./epoch\2024-09-09\epoch_16.pth
17, 0.5145, 1.0226, 76.72, ./epoch\2024-09-09\epoch_17.pth
18, 0.5001, 0.4959, 76.56, ./epoch\2024-09-09\epoch_18.pth
19, 0.5441, 1.0366, 69.36, ./epoch\2024-09-09\epoch_19.pth
20, 0.5797, 0.8596, 66.19, ./epoch\2024-09-09\epoch_20.pth
21, 0.6758, 0.7475, 55.27, ./epoch\2024-09-09\epoch_21.pth
22, 0.6820, 0.6727, 58.85, ./epoch\2024-09-09\epoch_22.pth
23, 0.6698, 0.6754, 61.00, ./epoch\2024-09-09\epoch_23.pth
24, 0.6807, 0.6880, 58.01, ./epoch\2024-09-09\epoch_24.pth
